components,difference,q
87690,87690,0.000000
87691,1,0.050000
87695,4,0.100000
87692,-3,0.150000
87700,8,0.200000
87702,2,0.250000
87709,7,0.300000
87719,10,0.350000
87714,-5,0.400000
87729,15,0.450000
87738,9,0.500000
87739,1,0.550000
87757,18,0.600000
87766,9,0.650000
87805,39,0.700000
87802,-3,0.750000
87830,28,0.800000
87874,44,0.850000
87969,95,0.900000
88114,145,0.950000
100000,11886,1.000000
87611,87611,0.000000
87614,3,0.050000
87617,3,0.100000
87625,8,0.150000
87638,13,0.200000
87634,-4,0.250000
87637,3,0.300000
87646,9,0.350000
87664,18,0.400000
87665,1,0.450000
87666,1,0.500000
87681,15,0.550000
87696,15,0.600000
87708,12,0.650000
87744,36,0.700000
87761,17,0.750000
87796,35,0.800000
87863,67,0.850000
87937,74,0.900000
88143,206,0.950000
100000,11857,1.000000
87493,87493,0.000000
87494,1,0.050000
87493,-1,0.100000
87494,1,0.150000
87497,3,0.200000
87497,0,0.250000
87498,1,0.300000
87507,9,0.350000
87505,-2,0.400000
87509,4,0.450000
87519,10,0.500000
87518,-1,0.550000
87536,18,0.600000
87530,-6,0.650000
87546,16,0.700000
87588,42,0.750000
87609,21,0.800000
87643,34,0.850000
87709,66,0.900000
87903,194,0.950000
100000,12097,1.000000
87589,87589,0.000000
87603,14,0.050000
87610,7,0.100000
87627,17,0.150000
87634,7,0.200000
87642,8,0.250000
87669,27,0.300000
87672,3,0.350000
87689,17,0.400000
87694,5,0.450000
87719,25,0.500000
87735,16,0.550000
87755,20,0.600000
87797,42,0.650000
87809,12,0.700000
87856,47,0.750000
87914,58,0.800000
87962,48,0.850000
88045,83,0.900000
88219,174,0.950000
100000,11781,1.000000
87729,87729,0.000000
87735,6,0.050000
87740,5,0.100000
87742,2,0.150000
87744,2,0.200000
87753,9,0.250000
87761,8,0.300000
87774,13,0.350000
87773,-1,0.400000
87792,19,0.450000
87796,4,0.500000
87816,20,0.550000
87830,14,0.600000
87834,4,0.650000
87867,33,0.700000
87894,27,0.750000
87937,43,0.800000
87984,47,0.850000
88065,81,0.900000
88217,152,0.950000
100000,11783,1.000000
87828,87828,0.000000
87830,2,0.050000
87831,1,0.100000
87834,3,0.150000
87834,0,0.200000
87835,1,0.250000
87844,9,0.300000
87845,1,0.350000
87844,-1,0.400000
87861,17,0.450000
87863,2,0.500000
87861,-2,0.550000
87870,9,0.600000
87874,4,0.650000
87897,23,0.700000
87908,11,0.750000
87930,22,0.800000
87994,64,0.850000
88044,50,0.900000
88203,159,0.950000
100000,11797,1.000000
87525,87525,0.000000
87527,2,0.050000
87526,-1,0.100000
87528,2,0.150000
87528,0,0.200000
87535,7,0.250000
87537,2,0.300000
87539,2,0.350000
87538,-1,0.400000
87550,12,0.450000
87556,6,0.500000
87572,16,0.550000
87577,5,0.600000
87589,12,0.650000
87601,12,0.700000
87630,29,0.750000
87638,8,0.800000
87696,58,0.850000
87756,60,0.900000
87960,204,0.950000
100000,12040,1.000000
87457,87457,0.000000
87464,7,0.050000
87467,3,0.100000
87476,9,0.150000
87492,16,0.200000
87491,-1,0.250000
87511,20,0.300000
87519,8,0.350000
87536,17,0.400000
87544,8,0.450000
87544,0,0.500000
87554,10,0.550000
87582,28,0.600000
87592,10,0.650000
87603,11,0.700000
87620,17,0.750000
87657,37,0.800000
87694,37,0.850000
87773,79,0.900000
87989,216,0.950000
100000,12011,1.000000
87417,87417,0.000000
87421,4,0.050000
87428,7,0.100000
87432,4,0.150000
87438,6,0.200000
87437,-1,0.250000
87452,15,0.300000
87461,9,0.350000
87476,15,0.400000
87469,-7,0.450000
87499,30,0.500000
87507,8,0.550000
87526,19,0.600000
87551,25,0.650000
87574,23,0.700000
87612,38,0.750000
87662,50,0.800000
87731,69,0.850000
87871,140,0.900000
88112,241,0.950000
100000,11888,1.000000
87565,87565,0.000000
87571,6,0.050000
87587,16,0.100000
87590,3,0.150000
87597,7,0.200000
87608,11,0.250000
87628,20,0.300000
87608,-20,0.350000
87633,25,0.400000
87653,20,0.450000
87659,6,0.500000
87675,16,0.550000
87685,10,0.600000
87702,17,0.650000
87730,28,0.700000
87771,41,0.750000
87776,5,0.800000
87847,71,0.850000
87957,110,0.900000
88142,185,0.950000
100000,11858,1.000000
87577,87577,0.000000
87578,1,0.050000
87582,4,0.100000
87582,0,0.150000
87586,4,0.200000
87583,-3,0.250000
87589,6,0.300000
87596,7,0.350000
87596,0,0.400000
87601,5,0.450000
87606,5,0.500000
87617,11,0.550000
87630,13,0.600000
87631,1,0.650000
87640,9,0.700000
87674,34,0.750000
87720,46,0.800000
87755,35,0.850000
87841,86,0.900000
88073,232,0.950000
100000,11927,1.000000
87445,87445,0.000000
87448,3,0.050000
87451,3,0.100000
87447,-4,0.150000
87449,2,0.200000
87452,3,0.250000
87461,9,0.300000
87465,4,0.350000
87475,10,0.400000
87478,3,0.450000
87487,9,0.500000
87493,6,0.550000
87509,16,0.600000
87510,1,0.650000
87543,33,0.700000
87564,21,0.750000
87594,30,0.800000
87658,64,0.850000
87743,85,0.900000
87940,197,0.950000
100000,12060,1.000000
87571,87571,0.000000
87572,1,0.050000
87573,1,0.100000
87578,5,0.150000
87575,-3,0.200000
87579,4,0.250000
87582,3,0.300000
87582,0,0.350000
87585,3,0.400000
87593,8,0.450000
87602,9,0.500000
87603,1,0.550000
87612,9,0.600000
87621,9,0.650000
87641,20,0.700000
87652,11,0.750000
87693,41,0.800000
87728,35,0.850000
87820,92,0.900000
88015,195,0.950000
100000,11985,1.000000
87695,87695,0.000000
87700,5,0.050000
87703,3,0.100000
87709,6,0.150000
87714,5,0.200000
87707,-7,0.250000
87715,8,0.300000
87721,6,0.350000
87726,5,0.400000
87739,13,0.450000
87736,-3,0.500000
87742,6,0.550000
87746,4,0.600000
87771,25,0.650000
87783,12,0.700000
87796,13,0.750000
87847,51,0.800000
87886,39,0.850000
87961,75,0.900000
88144,183,0.950000
100000,11856,1.000000
87772,87772,0.000000
87776,4,0.050000
87772,-4,0.100000
87778,6,0.150000
87780,2,0.200000
87790,10,0.250000
87787,-3,0.300000
87794,7,0.350000
87795,1,0.400000
87807,12,0.450000
87818,11,0.500000
87825,7,0.550000
87834,9,0.600000
87862,28,0.650000
87894,32,0.700000
87919,25,0.750000
87951,32,0.800000
88009,58,0.850000
88078,69,0.900000
88299,221,0.950000
100000,11701,1.000000
87437,87437,0.000000
87442,5,0.050000
87446,4,0.100000
87446,0,0.150000
87457,11,0.200000
87450,-7,0.250000
87461,11,0.300000
87466,5,0.350000
87468,2,0.400000
87485,17,0.450000
87496,11,0.500000
87509,13,0.550000
87501,-8,0.600000
87517,16,0.650000
87531,14,0.700000
87542,11,0.750000
87592,50,0.800000
87611,19,0.850000
87689,78,0.900000
87880,191,0.950000
100000,12120,1.000000
87571,87571,0.000000
87580,9,0.050000
87592,12,0.100000
87601,9,0.150000
87598,-3,0.200000
87603,5,0.250000
87631,28,0.300000
87630,-1,0.350000
87640,10,0.400000
87661,21,0.450000
87665,4,0.500000
87682,17,0.550000
87704,22,0.600000
87722,18,0.650000
87743,21,0.700000
87766,23,0.750000
87814,48,0.800000
87882,68,0.850000
87963,81,0.900000
88185,222,0.950000
100000,11815,1.000000
87679,87679,0.000000
87683,4,0.050000
87686,3,0.100000
87693,7,0.150000
87696,3,0.200000
87701,5,0.250000
87702,1,0.300000
87710,8,0.350000
87720,10,0.400000
87726,6,0.450000
87744,18,0.500000
87741,-3,0.550000
87775,34,0.600000
87791,16,0.650000
87791,0,0.700000
87835,44,0.750000
87862,27,0.800000
87909,47,0.850000
87993,84,0.900000
88134,141,0.950000
100000,11866,1.000000
87707,87707,0.000000
87708,1,0.050000
87719,11,0.100000
87729,10,0.150000
87736,7,0.200000
87751,15,0.250000
87758,7,0.300000
87765,7,0.350000
87764,-1,0.400000
87782,18,0.450000
87798,16,0.500000
87812,14,0.550000
87836,24,0.600000
87845,9,0.650000
87862,17,0.700000
87887,25,0.750000
87917,30,0.800000
87978,61,0.850000
88056,78,0.900000
88211,155,0.950000
100000,11789,1.000000
87533,87533,0.000000
87536,3,0.050000
87535,-1,0.100000
87540,5,0.150000
87541,1,0.200000
87541,0,0.250000
87548,7,0.300000
87545,-3,0.350000
87553,8,0.400000
87555,2,0.450000
87564,9,0.500000
87560,-4,0.550000
87586,26,0.600000
87597,11,0.650000
87610,13,0.700000
87626,16,0.750000
87662,36,0.800000
87739,77,0.850000
87784,45,0.900000
88030,246,0.950000
100000,11970,1.000000
87385,87385,0.000000
87390,5,0.050000
87387,-3,0.100000
87386,-1,0.150000
87389,3,0.200000
87392,3,0.250000
87395,3,0.300000
87403,8,0.350000
87408,5,0.400000
87413,5,0.450000
87426,13,0.500000
87435,9,0.550000
87467,32,0.600000
87458,-9,0.650000
87494,36,0.700000
87524,30,0.750000
87540,16,0.800000
87626,86,0.850000
87722,96,0.900000
87942,220,0.950000
100000,12058,1.000000
87544,87544,0.000000
87546,2,0.050000
87548,2,0.100000
87552,4,0.150000
87560,8,0.200000
87558,-2,0.250000
87568,10,0.300000
87573,5,0.350000
87570,-3,0.400000
87580,10,0.450000
87598,18,0.500000
87602,4,0.550000
87619,17,0.600000
87637,18,0.650000
87658,21,0.700000
87675,17,0.750000
87717,42,0.800000
87800,83,0.850000
87868,68,0.900000
88052,184,0.950000
100000,11948,1.000000
87517,87517,0.000000
87524,7,0.050000
87532,8,0.100000
87534,2,0.150000
87540,6,0.200000
87571,31,0.250000
87569,-2,0.300000
87570,1,0.350000
87581,11,0.400000
87592,11,0.450000
87603,11,0.500000
87622,19,0.550000
87642,20,0.600000
87647,5,0.650000
87654,7,0.700000
87687,33,0.750000
87719,32,0.800000
87763,44,0.850000
87824,61,0.900000
87980,156,0.950000
100000,12020,1.000000
87385,87385,0.000000
87385,0,0.050000
87387,2,0.100000
87388,1,0.150000
87387,-1,0.200000
87395,8,0.250000
87400,5,0.300000
87399,-1,0.350000
87408,9,0.400000
87404,-4,0.450000
87411,7,0.500000
87426,15,0.550000
87432,6,0.600000
87439,7,0.650000
87447,8,0.700000
87486,39,0.750000
87509,23,0.800000
87555,46,0.850000
87627,72,0.900000
87813,186,0.950000
100000,12187,1.000000
87643,87643,0.000000
87644,1,0.050000
87646,2,0.100000
87651,5,0.150000
87654,3,0.200000
87656,2,0.250000
87670,14,0.300000
87670,0,0.350000
87672,2,0.400000
87675,3,0.450000
87678,3,0.500000
87698,20,0.550000
87720,22,0.600000
87714,-6,0.650000
87739,25,0.700000
87762,23,0.750000
87797,35,0.800000
87863,66,0.850000
87929,66,0.900000
88158,229,0.950000
100000,11842,1.000000
87538,87538,0.000000
87544,6,0.050000
87550,6,0.100000
87549,-1,0.150000
87554,5,0.200000
87560,6,0.250000
87569,9,0.300000
87569,0,0.350000
87589,20,0.400000
87597,8,0.450000
87604,7,0.500000
87613,9,0.550000
87631,18,0.600000
87648,17,0.650000
87669,21,0.700000
87684,15,0.750000
87720,36,0.800000
87785,65,0.850000
87854,69,0.900000
88064,210,0.950000
100000,11936,1.000000
87512,87512,0.000000
87513,1,0.050000
87517,4,0.100000
87520,3,0.150000
87526,6,0.200000
87533,7,0.250000
87549,16,0.300000
87554,5,0.350000
87561,7,0.400000
87561,0,0.450000
87587,26,0.500000
87604,17,0.550000
87617,13,0.600000
87641,24,0.650000
87651,10,0.700000
87679,28,0.750000
87714,35,0.800000
87757,43,0.850000
87855,98,0.900000
88033,178,0.950000
100000,11967,1.000000
87675,87675,0.000000
87677,2,0.050000
87678,1,0.100000
87680,2,0.150000
87683,3,0.200000
87684,1,0.250000
87691,7,0.300000
87687,-4,0.350000
87692,5,0.400000
87700,8,0.450000
87706,6,0.500000
87708,2,0.550000
87718,10,0.600000
87722,4,0.650000
87739,17,0.700000
87764,25,0.750000
87793,29,0.800000
87826,33,0.850000
87894,68,0.900000
88117,223,0.950000
100000,11883,1.000000
87435,87435,0.000000
87447,12,0.050000
87451,4,0.100000
87455,4,0.150000
87466,11,0.200000
87469,3,0.250000
87489,20,0.300000
87499,10,0.350000
87516,17,0.400000
87522,6,0.450000
87517,-5,0.500000
87539,22,0.550000
87561,22,0.600000
87569,8,0.650000
87579,10,0.700000
87627,48,0.750000
87669,42,0.800000
87718,49,0.850000
87779,61,0.900000
87995,216,0.950000
100000,12005,1.000000
87633,87633,0.000000
87634,1,0.050000
87634,0,0.100000
87636,2,0.150000
87640,4,0.200000
87637,-3,0.250000
87641,4,0.300000
87644,3,0.350000
87641,-3,0.400000
87650,9,0.450000
87651,1,0.500000
87654,3,0.550000
87671,17,0.600000
87677,6,0.650000
87694,17,0.700000
87705,11,0.750000
87738,33,0.800000
87776,38,0.850000
87854,78,0.900000
88042,188,0.950000
100000,11958,1.000000
87530,87530,0.000000
87536,6,0.050000
87536,0,0.100000
87540,4,0.150000
87548,8,0.200000
87547,-1,0.250000
87548,1,0.300000
87567,19,0.350000
87572,5,0.400000
87581,9,0.450000
87589,8,0.500000
87588,-1,0.550000
87606,18,0.600000
87626,20,0.650000
87630,4,0.700000
87656,26,0.750000
87678,22,0.800000
87736,58,0.850000
87806,70,0.900000
87967,161,0.950000
100000,12033,1.000000
87579,87579,0.000000
87581,2,0.050000
87590,9,0.100000
87593,3,0.150000
87604,11,0.200000
87604,0,0.250000
87601,-3,0.300000
87608,7,0.350000
87610,2,0.400000
87620,10,0.450000
87620,0,0.500000
87623,3,0.550000
87637,14,0.600000
87654,17,0.650000
87670,16,0.700000
87696,26,0.750000
87725,29,0.800000
87766,41,0.850000
87865,99,0.900000
88101,236,0.950000
100000,11899,1.000000
87952,87952,0.000000
87954,2,0.050000
87960,6,0.100000
87961,1,0.150000
87975,14,0.200000
87971,-4,0.250000
87972,1,0.300000
87974,2,0.350000
87988,14,0.400000
87984,-4,0.450000
87993,9,0.500000
88009,16,0.550000
88013,4,0.600000
88033,20,0.650000
88041,8,0.700000
88060,19,0.750000
88091,31,0.800000
88134,43,0.850000
88187,53,0.900000
88360,173,0.950000
100000,11640,1.000000
87520,87520,0.000000
87523,3,0.050000
87527,4,0.100000
87528,1,0.150000
87536,8,0.200000
87543,7,0.250000
87553,10,0.300000
87557,4,0.350000
87565,8,0.400000
87592,27,0.450000
87588,-4,0.500000
87598,10,0.550000
87625,27,0.600000
87665,40,0.650000
87675,10,0.700000
87721,46,0.750000
87738,17,0.800000
87802,64,0.850000
87875,73,0.900000
88114,239,0.950000
100000,11886,1.000000
87481,87481,0.000000
87483,2,0.050000
87483,0,0.100000
87492,9,0.150000
87492,0,0.200000
87498,6,0.250000
87498,0,0.300000
87498,0,0.350000
87520,22,0.400000
87542,22,0.450000
87528,-14,0.500000
87541,13,0.550000
87553,12,0.600000
87571,18,0.650000
87613,42,0.700000
87633,20,0.750000
87663,30,0.800000
87713,50,0.850000
87801,88,0.900000
88019,218,0.950000
100000,11981,1.000000
87533,87533,0.000000
87535,2,0.050000
87538,3,0.100000
87545,7,0.150000
87543,-2,0.200000
87548,5,0.250000
87548,0,0.300000
87553,5,0.350000
87562,9,0.400000
87564,2,0.450000
87576,12,0.500000
87581,5,0.550000
87586,5,0.600000
87599,13,0.650000
87622,23,0.700000
87648,26,0.750000
87677,29,0.800000
87717,40,0.850000
87773,56,0.900000
87958,185,0.950000
100000,12042,1.000000
87563,87563,0.000000
87566,3,0.050000
87569,3,0.100000
87573,4,0.150000
87575,2,0.200000
87586,11,0.250000
87591,5,0.300000
87593,2,0.350000
87604,11,0.400000
87614,10,0.450000
87625,11,0.500000
87637,12,0.550000
87651,14,0.600000
87667,16,0.650000
87681,14,0.700000
87708,27,0.750000
87770,62,0.800000
87806,36,0.850000
87902,96,0.900000
88092,190,0.950000
100000,11908,1.000000
87679,87679,0.000000
87682,3,0.050000
87686,4,0.100000
87687,1,0.150000
87695,8,0.200000
87704,9,0.250000
87702,-2,0.300000
87706,4,0.350000
87711,5,0.400000
87723,12,0.450000
87739,16,0.500000
87741,2,0.550000
87749,8,0.600000
87768,19,0.650000
87808,40,0.700000
87822,14,0.750000
87859,37,0.800000
87911,52,0.850000
88007,96,0.900000
88209,202,0.950000
100000,11791,1.000000
87425,87425,0.000000
87429,4,0.050000
87439,10,0.100000
87439,0,0.150000
87450,11,0.200000
87458,8,0.250000
87468,10,0.300000
87462,-6,0.350000
87486,24,0.400000
87468,-18,0.450000
87491,23,0.500000
87498,7,0.550000
87506,8,0.600000
87519,13,0.650000
87535,16,0.700000
87569,34,0.750000
87594,25,0.800000
87659,65,0.850000
87730,71,0.900000
87947,217,0.950000
100000,12053,1.000000
87537,87537,0.000000
87543,6,0.050000
87544,1,0.100000
87542,-2,0.150000
87549,7,0.200000
87553,4,0.250000
87552,-1,0.300000
87571,19,0.350000
87571,0,0.400000
87580,9,0.450000
87581,1,0.500000
87587,6,0.550000
87606,19,0.600000
87626,20,0.650000
87640,14,0.700000
87664,24,0.750000
87713,49,0.800000
87758,45,0.850000
87846,88,0.900000
88027,181,0.950000
100000,11973,1.000000
87507,87507,0.000000
87510,3,0.050000
87518,8,0.100000
87523,5,0.150000
87524,1,0.200000
87534,10,0.250000
87531,-3,0.300000
87534,3,0.350000
87539,5,0.400000
87551,12,0.450000
87551,0,0.500000
87578,27,0.550000
87588,10,0.600000
87586,-2,0.650000
87618,32,0.700000
87649,31,0.750000
87673,24,0.800000
87721,48,0.850000
87784,63,0.900000
87948,164,0.950000
100000,12052,1.000000
87396,87396,0.000000
87399,3,0.050000
87410,11,0.100000
87416,6,0.150000
87420,4,0.200000
87428,8,0.250000
87434,6,0.300000
87435,1,0.350000
87452,17,0.400000
87454,2,0.450000
87459,5,0.500000
87487,28,0.550000
87486,-1,0.600000
87521,35,0.650000
87529,8,0.700000
87560,31,0.750000
87600,40,0.800000
87636,36,0.850000
87724,88,0.900000
87931,207,0.950000
100000,12069,1.000000
87768,87768,0.000000
87774,6,0.050000
87774,0,0.100000
87775,1,0.150000
87775,0,0.200000
87784,9,0.250000
87784,0,0.300000
87795,11,0.350000
87789,-6,0.400000
87802,13,0.450000
87805,3,0.500000
87813,8,0.550000
87823,10,0.600000
87843,20,0.650000
87857,14,0.700000
87876,19,0.750000
87902,26,0.800000
87941,39,0.850000
88016,75,0.900000
88191,175,0.950000
100000,11809,1.000000
87656,87656,0.000000
87656,0,0.050000
87664,8,0.100000
87668,4,0.150000
87669,1,0.200000
87672,3,0.250000
87693,21,0.300000
87700,7,0.350000
87695,-5,0.400000
87708,13,0.450000
87713,5,0.500000
87729,16,0.550000
87741,12,0.600000
87769,28,0.650000
87780,11,0.700000
87795,15,0.750000
87841,46,0.800000
87886,45,0.850000
87968,82,0.900000
88102,134,0.950000
100000,11898,1.000000
87735,87735,0.000000
87739,4,0.050000
87738,-1,0.100000
87740,2,0.150000
87742,2,0.200000
87742,0,0.250000
87743,1,0.300000
87749,6,0.350000
87753,4,0.400000
87756,3,0.450000
87761,5,0.500000
87763,2,0.550000
87763,0,0.600000
87778,15,0.650000
87778,0,0.700000
87801,23,0.750000
87846,45,0.800000
87891,45,0.850000
87953,62,0.900000
88217,264,0.950000
100000,11783,1.000000
87586,87586,0.000000
87589,3,0.050000
87597,8,0.100000
87597,0,0.150000
87604,7,0.200000
87612,8,0.250000
87621,9,0.300000
87626,5,0.350000
87639,13,0.400000
87642,3,0.450000
87651,9,0.500000
87657,6,0.550000
87677,20,0.600000
87682,5,0.650000
87697,15,0.700000
87724,27,0.750000
87772,48,0.800000
87818,46,0.850000
87889,71,0.900000
88063,174,0.950000
100000,11937,1.000000
87612,87612,0.000000
87620,8,0.050000
87626,6,0.100000
87639,13,0.150000
87646,7,0.200000
87646,0,0.250000
87653,7,0.300000
87670,17,0.350000
87676,6,0.400000
87691,15,0.450000
87699,8,0.500000
87728,29,0.550000
87740,12,0.600000
87748,8,0.650000
87772,24,0.700000
87802,30,0.750000
87842,40,0.800000
87890,48,0.850000
87986,96,0.900000
88188,202,0.950000
100000,11812,1.000000
87239,87239,0.000000
87243,4,0.050000
87247,4,0.100000
87250,3,0.150000
87258,8,0.200000
87258,0,0.250000
87270,12,0.300000
87277,7,0.350000
87293,16,0.400000
87290,-3,0.450000
87300,10,0.500000
87304,4,0.550000
87321,17,0.600000
87317,-4,0.650000
87342,25,0.700000
87391,49,0.750000
87398,7,0.800000
87453,55,0.850000
87516,63,0.900000
87748,232,0.950000
100000,12252,1.000000
87592,87592,0.000000
87592,0,0.050000
87597,5,0.100000
87599,2,0.150000
87601,2,0.200000
87606,5,0.250000
87603,-3,0.300000
87609,6,0.350000
87620,11,0.400000
87621,1,0.450000
87625,4,0.500000
87633,8,0.550000
87639,6,0.600000
87652,13,0.650000
87657,5,0.700000
87683,26,0.750000
87718,35,0.800000
87756,38,0.850000
87865,109,0.900000
88029,164,0.950000
100000,11971,1.000000
87555,87555,0.000000
87558,3,0.050000
87561,3,0.100000
87569,8,0.150000
87575,6,0.200000
87573,-2,0.250000
87585,12,0.300000
87595,10,0.350000
87610,15,0.400000
87602,-8,0.450000
87607,5,0.500000
87627,20,0.550000
87654,27,0.600000
87665,11,0.650000
87685,20,0.700000
87729,44,0.750000
87760,31,0.800000
87805,45,0.850000
87916,111,0.900000
88084,168,0.950000
100000,11916,1.000000
